Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
Chi2,KNN,0.8206521739130435,0.8484848484848485,0.8235294117647058,0.835820895522388,0.8870157819225251,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__n_neighbors': 14, 'model__p': 2, 'model__weights': 'distance'}, 'best_score': np.float64(0.8760412180811533)}"
Chi2,XGBoost,0.8369565217391305,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9261716881874701,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}, 'best_score': np.float64(0.8755433812854211)}"
Chi2,Voting,0.8315217391304348,0.8585858585858586,0.8333333333333334,0.845771144278607,0.9157699665231945,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__weights': [1, 1, 1, 1, 1, 1]}, 'best_score': np.float64(0.8732148053055591)}"
Chi2,Stacking,0.8532608695652174,0.8712871287128713,0.8627450980392157,0.8669950738916257,0.9199545671927308,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
Chi2,WeightedVoting,0.8369565217391305,0.8673469387755102,0.8333333333333334,0.85,0.9162482065997131,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
Chi2,TieredStacking,0.842391304347826,0.8613861386138614,0.8529411764705882,0.8571428571428571,0.9194763271162123,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
Chi2,AdvancedStacking,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9315518890483022,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
MutInfo,LogReg,0.8206521739130435,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.8971783835485413,"['age', 'cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'src_switzerland']",True,"{'best_params': {'model__C': np.float64(1.3033876203499595), 'model__penalty': 'l2', 'model__solver': 'lbfgs'}, 'best_score': np.float64(0.8932062409185093)}"
MutInfo,DecTree,0.7663043478260869,0.780952380952381,0.803921568627451,0.7922705314009661,0.8777498804399808,"['sex', 'cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",True,"{'best_params': {'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 11}, 'best_score': np.float64(0.8212779296533119)}"
MutInfo,RandForest,0.842391304347826,0.8476190476190476,0.8725490196078431,0.8599033816425121,0.9249163079866093,"['cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_switzerland']",True,"{'best_params': {'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}, 'best_score': np.float64(0.8813009434150826)}"
MutInfo,SVM,0.842391304347826,0.8613861386138614,0.8529411764705882,0.8571428571428571,0.9141559062649449,"['sex', 'cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",True,"{'best_params': {'model__C': np.float64(8.181907582838953), 'model__gamma': 'scale', 'model__kernel': 'linear'}, 'best_score': np.float64(0.8920865699629866)}"
MutInfo,KNN,0.842391304347826,0.8762886597938144,0.8333333333333334,0.8542713567839196,0.9106886657101865,"['sex', 'cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",True,"{'best_params': {'model__n_neighbors': 12, 'model__p': 1, 'model__weights': 'distance'}, 'best_score': np.float64(0.8805028882093101)}"
MutInfo,XGBoost,0.842391304347826,0.8762886597938144,0.8333333333333334,0.8542713567839196,0.9323290291726447,"['age', 'cp', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",True,"{'best_params': {'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}, 'best_score': np.float64(0.8782656858808146)}"
